property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
female,"('mlp', '100-100-300-mean')",0.9712660533943198,"('mlp', '50--300-mean')",0.15733610379143748,0.9679967420452886,0.954353849443664,0.9585241736192008,0.954374026395532,0.9712660533943198,0.1409312795877996,0.15733610379143748,0.14969328482294897,0.1540692714668087,0.15562137710175405,0.7658557819511774,0.7522095272410768,0.7569591140459974,0.7527274377196173,0.7697896567097904,0.827065462457489,0.8818220952530036,0.7416912393418519,0.20214096009411123,0.2319104041551696,0.16330138488841486,0.5531084877025225,0.7970177456522265,0.8640807337078679,0.6936564526384659,0.20214432220258716,0.2330004066387665,0.15107900984363004,0.5232490298040703,0.8088308887962519,0.8887077607411019,0.7064366375165175,0.20156505957320348,0.2325136696478188,0.1504233244786088,0.5202165540703907,0.8003047549287233,0.8680463965064174,0.7006131837370093,0.20164658867591476,0.2354309342712753,0.15056549133174185,0.5084500173773887,0.8156446762925658,0.8887002317167989,0.7182578610866086,0.20147639668452944,0.23658434647365414,0.15261956537929466,0.5052674397411571,"('mlp', '100-100-300-mean')",0.7697896567097904,0.4189551030574755
square,"('mlp', '100--300-mean')",0.8982230296768209,"('lr', '0')",0.07835606943318085,0.8981481481481481,0.8842171261185345,0.8863093531020209,0.8982230296768209,0.8953000051591602,0.07835606943318085,0.048400571086322564,0.04869532530608811,0.061706101737540986,0.05445285871034722,0.8652223763094666,0.847570158752147,0.8488480001266294,0.8649605464155791,0.8576410456110358,0.8197920787149673,0.861169837914024,0.7813013859525486,0.03292577183868151,0.06451124976366042,0.008456659619450316,0.7527910685805423,0.835816555032212,0.861169837914024,0.7909811703324555,0.036646967366387465,0.07198228128460686,0.008456659619450316,0.7542059198052348,0.8376140277959327,0.861169837914024,0.7992257986260433,0.03746135297539142,0.07741870532568207,0.008456659619450316,0.7544456026125095,0.8365169279392799,0.861169837914024,0.8069881186405053,0.033262483261241794,0.06654585724353165,0.008456659619450316,0.7585288868536887,0.840847146448813,0.8644515551492296,0.8092170505879196,0.03765895954812438,0.06654585724353165,0.008456659619450316,0.7577185688998955,"('lr', '0')",0.8652223763094666,0.7304710793082886
ceiling-square,"('lr', '0')",0.975442397977609,"('lr', '0')",0.17971718414768378,0.975442397977609,0.9459558674902108,0.9402008285159936,0.9404415156127484,0.9483520127838088,0.17971718414768378,0.15379310699998572,0.14170679944552178,0.15113331691090282,0.15183013964202763,0.9379749347254919,0.9070752222207445,0.9032768721778163,0.902842328708036,0.9117372475915263,0.7957252138299252,0.8806638279288133,0.7068543451652387,0.037467463252117125,0.07305358948432761,0.008456659619450316,0.7648609255188203,0.792162760490225,0.8952473014105633,0.7151649818969281,0.03888064526946618,0.08200432025002298,0.0,0.7586580906133898,0.7984940290704718,0.8818083985790128,0.7055305812098956,0.03692395633817734,0.08200432025002298,0.0,0.7534594134673442,0.7893081987018455,0.9011037924943628,0.7116071362338192,0.037599186904712256,0.07305358948432761,0.0,0.7484881443513384,0.7965218731417811,0.8854985208408073,0.7091828938095768,0.036614765192282454,0.07305358948432761,0.0,0.7585507367005205,"('lr', '0')",0.9379749347254919,0.7304710793082886
used_in_cooking,"('mlp', '100-100-300-mean')",0.9109604613799428,"('mlp', '100--300-mean')",0.1264983256086839,0.8890937019969278,0.8964286802326826,0.9061631018802389,0.9058460642864391,0.9109604613799428,0.0872942977242791,0.11900532061435465,0.12241760355988884,0.1264983256086839,0.12458100519475057,0.7701027379428198,0.7765510445810018,0.7859753326205396,0.7860214920205402,0.7909887218809039,0.8017994042726487,0.9032258064516128,0.6635552505147564,0.11899096405410807,0.15264931708182347,0.08995910949568378,0.5445757162353154,0.777423359618328,0.8779749944583836,0.6558583077004903,0.11987763565168089,0.15697102831808005,0.09153738359435372,0.5451321477244874,0.78374549832035,0.8782480366510519,0.6555392681972885,0.12018776925969923,0.1545197334389076,0.09627220589036364,0.5469986122195678,0.7793477386777552,0.8744252113136577,0.6507988873282047,0.11982457226589889,0.15827780654107998,0.09153738359435372,0.5503616108424391,0.7863794561851922,0.8827653302832633,0.6623150860753774,0.11997173949903894,0.1565686002422581,0.09609650311737596,0.5491609689850631,"('mlp', '100-100-300-mean')",0.7909887218809039,0.5060088551549652
ceiling-used_in_cooking,"('mlp', '100--300-mean')",0.9677419354838712,"('mlp', '100--300-mean')",0.17566029989934528,0.967741935483871,0.9644633380567365,0.959598232891556,0.9677419354838712,0.9644633380567365,0.1303153596717055,0.1718946186655126,0.15179638431370068,0.17566029989934528,0.1478444951354223,0.8510081448684066,0.8418338412871453,0.837400453089727,0.846990809371244,0.843726599974961,0.8374265758121655,0.9165571935970418,0.7535855459603954,0.11673379061546445,0.1525537634408602,0.07199625993454885,0.5439468710119133,0.7925687193912239,0.8933465828551455,0.7010863525625362,0.12262949676959115,0.15342741935483872,0.0920549495201449,0.5459205888494005,0.8078018485778553,0.9093657911276338,0.7318451291282313,0.12219777980182896,0.1551747311827957,0.0934743675257102,0.5434482689315412,0.7920816355845259,0.8951162934501443,0.7026220149122018,0.12075112611262717,0.15255376344086022,0.09226037960312547,0.5423106114082898,0.8166188429213141,0.9232408693272209,0.7517060537442276,0.1207367380817754,0.15324666295884318,0.09084096159756017,0.5547916301228317,"('lr', '0')",0.8510081448684066,0.5060088551549652
wings,"('mlp', '50-50-300-mean')",0.8757865847141828,"('mlp', '50-50-300-mean')",0.03178859747162266,0.8695652173913043,0.8348710047963734,0.8757865847141828,0.8585169372516983,0.8626776772210073,0.028439961992759666,-0.00593563429356303,0.03178859747162266,0.01203344261259054,0.016163147096307395,0.666760526591446,0.627811587249155,0.6692343608524944,0.6507051207487087,0.655675924395184,0.8411252553985447,0.9810770869849124,0.7729398484115464,0.20280469079985836,0.2319826786266625,0.1794093519278097,0.4779754619004839,0.8408066390899365,0.9716706189641544,0.7320768974931017,0.20705941754721852,0.2436669100346515,0.1805152612373059,0.5134287366869815,0.8439979872425601,0.9660153363952264,0.7359625983372362,0.20655222386168837,0.2420692883891687,0.1794093519278097,0.4960937299026547,0.8464834946391078,0.9716706189641544,0.7222903123513558,0.2078118165029897,0.2450374744896014,0.1794093519278097,0.5017379139117318,0.8465145301246999,0.9679037826905766,0.7306685153133544,0.2070017528258234,0.24251990780634625,0.1816211705468021,0.5024379984655251,"('mlp', '50-50-300-mean')",0.6692343608524944,0.40918390543305294
ceiling-wings,"('mlp', '100--300-mean')",0.9761503040240486,"('mlp', '50--300-mean')",0.18922828166365102,0.9565217391304348,0.9718252077076854,0.9588086891172164,0.9761503040240486,0.9718086445606874,0.14879076857384677,0.18922828166365102,0.16070656867176847,0.1891514764180514,0.16836705863301737,0.7386303624126742,0.7483767360810041,0.7353965816734211,0.7531302284098382,0.7511231730480057,0.807730970556588,0.8860454822110331,0.7063665706301584,0.2178913767177606,0.3236657681940701,0.1602322206095791,0.55293075426853,0.7825969260440344,0.8721089510197597,0.7115627604523402,0.2234484716266813,0.3038332025055215,0.18195792029911176,0.5172879290819541,0.7981021204454479,0.8719850862083438,0.7216983951069456,0.2234121074437953,0.3030874374904439,0.17844459077771158,0.5156283412699265,0.7869988276059972,0.8758456624510295,0.7122761982342831,0.2230200756142104,0.30403102470563026,0.1812004260041111,0.52456458773916,0.80344158592767,0.8845858019444922,0.7347859750429176,0.22068547151268172,0.30333415590665264,0.17817044882410846,0.5055226839370306,"('mlp', '100--300-mean')",0.7531302284098382,0.40918390543305294
lay_eggs,"('mlp', '100-100-300-mean')",0.8905996463955386,"('mlp', '50--300-mean')",0.11737863140942573,0.8582010582010582,0.8691628422497991,0.8715067829047289,0.8656739926739929,0.8905996463955386,0.07341379324913555,0.11737863140942573,0.1081786632228976,0.11008712663540521,0.11473822477422435,0.6989526335372969,0.6917290419681248,0.7005610227317289,0.6911412046535805,0.7163450314986707,0.7847872649519226,0.8523853574732391,0.7002164502164502,0.15924842466376127,0.2020425741355974,0.1238095238095238,0.5111813554993602,0.7517842108403734,0.8440930106007712,0.6637627660883477,0.17743380028167438,0.2366629932944808,0.12971428571428573,0.538746605529188,0.7633281196818313,0.8326792975818623,0.6592748778880793,0.17094576017299995,0.2251003497400042,0.12676190476190474,0.5484617633941815,0.7555868660385877,0.8379749913000278,0.6697322434917119,0.17453278802041233,0.2303953242772893,0.1238095238095238,0.532992864910611,0.7758614216213142,0.8411973775017252,0.6641709293536537,0.17425461489686792,0.22743485743276898,0.12676190476190474,0.5480233134171711,"('mlp', '100-100-300-mean')",0.7163450314986707,0.4852130325814536
ceiling-lay_eggs,"('mlp', '50--300-mean')",0.9898901098901101,"('mlp', '50--300-mean')",0.16639911583167544,0.9316666666666668,0.9898901098901101,0.9763168498168496,0.9898901098901101,0.9696703296703296,0.10810956055676557,0.16639911583167544,0.1488932169296926,0.16536380229234748,0.1403009496624934,0.7602117097831089,0.7906150453610437,0.7794453921663258,0.7909566604331897,0.775489831686092,0.8235571061099012,0.9428571428571428,0.7085921325051759,0.17145495688355789,0.2316472425808002,0.1087108013937282,0.6151724468518684,0.8234909940584346,0.9054196597951618,0.7293551864156516,0.19927506452906646,0.2615837884835959,0.16507936507936513,0.5276454549573031,0.827423632887157,0.9091799820703474,0.7107181729179708,0.19687145765052377,0.2597985931500134,0.15741437289824387,0.5400452142960025,0.8245263075977626,0.9009755840320626,0.7264230343300111,0.19893344945692032,0.2705608834641093,0.16378441360310034,0.5451900634713448,0.8293693800078362,0.9091226347455637,0.7139791805094131,0.19418049798423767,0.24977399176373646,0.15412843888060251,0.5395619505893136,"('mlp', '100--300-mean')",0.7909566604331897,0.4852130325814536
wheels,"('lr', '0')",0.8360556563823351,"('mlp', '100--300-mean')",0.07774363034855625,0.8360556563823351,0.8249116439010411,0.8255166045785971,0.8350176712197918,0.8279173432674245,0.07478184345801009,0.06845995070181621,0.06080402011778352,0.07774363034855625,0.06431949426504979,0.7732875634734834,0.7556246366746662,0.7553473534239891,0.7654067448350498,0.7618280265344382,0.761273812924325,0.8601563729863042,0.6826647037173353,0.0627680929088518,0.11809650977337635,0.02631578947368421,0.6334044391281234,0.7564516931992249,0.8791294798805842,0.6826647037173352,0.06928700722637493,0.12112639666510165,0.013495276653171392,0.6278274276043512,0.7647125844608136,0.8747578429843508,0.6920410583568477,0.07016925115460806,0.14432044539218314,0.013495276653171392,0.6318295783660777,0.7572740408712355,0.8876490311280312,0.6826647037173352,0.06961092638474195,0.12917101093355682,0.013495276653171392,0.6331634011887741,0.7635978490023747,0.8662074389645615,0.6826647037173352,0.06608931673298632,0.13324594423200267,0.013495276653171392,0.6311339717948745,"('lr', '0')",0.7732875634734834,0.6251993620414672
ceiling-wheels,"('lr', '0')",0.9740715424925952,"('lr', '0')",0.1535763873219228,0.9740715424925952,0.9633128275233538,0.9684687796045136,0.9660606060606062,0.965898238419014,0.1535763873219228,0.13509560648657182,0.13467554821557803,0.1412733939281462,0.13137258943555008,0.9054435449172292,0.8950745294134254,0.9018246065270927,0.8977690029423021,0.8987228165555305,0.8204951551706724,0.8850877192982456,0.6826647037173353,0.068627997575366,0.12014443593390962,0.03778677462887989,0.6304619065145379,0.828217221036782,0.8817673281564566,0.7155874534821903,0.0682382981099284,0.12014443593390965,0.037786774628879895,0.6339189393553548,0.8337932313889356,0.8910691595045177,0.6868764568764568,0.06664417307742083,0.114806177758681,0.037786774628879895,0.635767036423167,0.82478721213246,0.8817673281564566,0.6826647037173352,0.06829160311830403,0.12014443593390965,0.037786774628879895,0.6316976330189805,0.8345256489834639,0.8908493788120824,0.7145565592679346,0.06717542186348349,0.1174753068462953,0.037786774628879895,0.6367033535415281,"('lr', '0')",0.9054435449172292,0.6251993620414672
