property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
used_in_cooking,"('mlp', '50-50-300-mean')",0.9092437570017342,"('mlp', '50-50-300-mean')",0.11936329595239392,0.9033972563384328,0.8835266754694,0.9092437570017342,0.8835266754694,0.9032797825528526,0.0802450554044708,0.09690228673959056,0.11936329595239392,0.09556332624882324,0.11284933012401,0.7998717845599256,0.7741338254452647,0.801709814421355,0.7750477746407073,0.7961347472230428,0.823152200933962,0.9337941628264208,0.7389382188752762,0.10352547177850727,0.1525537634408602,0.03225806451612903,0.5323155692688941,0.7866243887298094,0.8881665992315237,0.6963280475949704,0.10939285002413532,0.1907612863538456,0.032258064516129024,0.5516754908942965,0.7898804610493403,0.8939627265564449,0.7029190247628974,0.10753394258037914,0.1706500943048671,0.032258064516129024,0.5470847521219396,0.7879633492205768,0.8875430154878167,0.7026697836836011,0.10847890082869267,0.18497269837204816,0.032258064516129024,0.5461087835890723,0.7904304524288426,0.9000495812631215,0.704826718136271,0.10714503532980982,0.1900482992864499,0.032258064516129024,0.5552256393432173,"('mlp', '50-50-300-mean')",0.801709814421355,0.5060088551549652
ceiling-used_in_cooking,"('lr', '0')",0.9617550164719976,"('lr', '0')",0.22306974607518681,0.9617550164719976,0.9303573620806644,0.9322621959426348,0.9240453233710196,0.946367805546776,0.22306974607518681,0.20328248027954987,0.1969491988814288,0.1958120681800738,0.20785913472555195,0.8363642980557233,0.8015423514668737,0.8037124479552882,0.7949839696254242,0.8175007668878274,0.7386852703968108,0.8037339005080941,0.6270086040028526,0.1253907184162742,0.16827956989247309,0.08619043999020179,0.5780422319566678,0.7270748818011146,0.7827840112201966,0.6353395688657907,0.12881501061379078,0.16478494623655912,0.0931156576930237,0.5520013227103571,0.735312997061206,0.7999712848801974,0.6621613477826817,0.1285497479873467,0.16601189874271075,0.08995910949568378,0.5544496048285162,0.7282332551909458,0.7848790001489864,0.6423315670460648,0.12906135374559552,0.16391129032258062,0.08995910949568378,0.5510920063917959,0.7385086708212241,0.7932589558641453,0.6587394075397127,0.12886703865894866,0.16259951777733656,0.0931156576930237,0.5485694417700773,"('lr', '0')",0.8363642980557233,0.5060088551549652
female,"('mlp', '100--300-mean')",0.92866107472514,"('mlp', '100--300-mean')",0.14173439114212505,0.9002213788741303,0.9237373097999292,0.9236472829118808,0.92866107472514,0.92171521860585,0.10958668734575316,0.1392568063016889,0.1400011288688756,0.14173439114212505,0.13455744385509316,0.676520585737699,0.6965699627259163,0.698608704164082,0.7023044484066765,0.697550466427687,0.7906346915283772,0.8807805720039317,0.6839894515767365,0.22370079313643138,0.2482211821772438,0.1920354627509879,0.5274824438590662,0.7844805034982403,0.8679927265210484,0.7261926871257941,0.22716734707401284,0.25343590871231697,0.1943612353014424,0.5125410719895058,0.7836461540430052,0.8511528802159282,0.7348010734111475,0.2250385787477988,0.2498752244075429,0.19119207456972973,0.5179752979045658,0.786926683583015,0.8613549515094361,0.7359400287703808,0.2263566263184636,0.2511589920483587,0.19273990493051693,0.5143079241131691,0.7871577747507569,0.8540725195033125,0.7228507420683908,0.22416475217816303,0.25325982979210115,0.1879479339471327,0.507492049647221,"('mlp', '100--300-mean')",0.7023044484066765,0.4189551030574755
square,"('lr', '0')",0.8981481481481481,"('lr', '0')",0.08512996047611487,0.8981481481481481,0.8894778152997331,0.8912085934003742,0.8930187347995568,0.8774354462372983,0.08512996047611487,0.04980980644813282,0.04612117184093989,0.05775250309986735,0.041364305171871174,0.8516402077256846,0.8431249969096265,0.8442105654323593,0.8457104353651383,0.8314967202763647,0.8130181876720333,0.8939870102660802,0.7188160676532769,0.04650794042246359,0.1028893587033122,0.0165374677002584,0.7645524831051148,0.8396680088516003,0.9214168631976852,0.7857484267398588,0.04635281839010661,0.1028893587033122,0.016537467700258403,0.7505894820231519,0.8450874215594343,0.8993108985463241,0.8111802232854863,0.0469980279680149,0.09990578178141372,0.016537467700258403,0.7530110816043191,0.8352662316996895,0.90447298521526,0.7922661883423775,0.04730829943441846,0.1028893587033122,0.016537467700258403,0.7514778742660864,0.8360711410654271,0.9024689249749712,0.7940166848052362,0.045938725960933666,0.09990578178141372,0.016537467700258403,0.7557598263203886,"('lr', '0')",0.8516402077256846,0.7304710793082886
ceiling-square,"('mlp', '100-100-300-mean')",0.93756399612564,"('mlp', '100-100-300-mean')",0.14632878756301226,0.9202988792029888,0.9202988792029888,0.9289314376643144,0.9180838060975048,0.93756399612564,0.13813651936270133,0.13330905102777735,0.13945367727443325,0.13201383608122064,0.14632878756301226,0.8717802040387553,0.87757343364011,0.887130474827867,0.8754816411422114,0.896747714410215,0.7821623598402875,0.8579730771511594,0.7243107769423559,0.04851867516423349,0.09523809523809523,0.017316017316017313,0.7603468899521532,0.7869898281752115,0.8646853400278058,0.7295093288777499,0.04272544556287888,0.06960916626570123,0.017316017316017313,0.7513716863287879,0.7894777603898812,0.8676471414123356,0.7315014563435616,0.041800962836447395,0.06842179559570863,0.017316017316017313,0.7525396621305057,0.7860699700162842,0.8613292085894827,0.7295093288777499,0.042602164955293495,0.07290575254101092,0.017316017316017313,0.7577882682145098,0.7912352085626277,0.8621847367737778,0.7375204678362574,0.04081628171542505,0.06751458686241295,0.017316017316017313,0.7582765637762032,"('mlp', '100-100-300-mean')",0.896747714410215,0.7243107769423559
lay_eggs,"('lr', '0')",0.878921568627451,"('lr', '0')",0.093572329690492,0.878921568627451,0.8247572270014725,0.8185474251371841,0.8267464873707729,0.8208824004470736,0.093572329690492,0.06887089033723515,0.06370768983949415,0.062349615537213965,0.061582491569815545,0.73432478432967,0.6613219998794166,0.6574008897633745,0.6657052335596538,0.6619485489661174,0.785349238936959,0.8251552795031056,0.7131357806280407,0.14459678429778097,0.18639455782312925,0.1238095238095238,0.531296134837787,0.7558863366642373,0.8493677529032346,0.666473218934182,0.16343522712205585,0.2049776226279986,0.12676190476190474,0.5685491946139994,0.75483973529769,0.833796968276206,0.6734250697789901,0.16114653537380966,0.19187755102040813,0.12676190476190474,0.5731422118377365,0.764396871833559,0.8526164761606536,0.6719004329804836,0.16104125381111917,0.20010204081632652,0.1238095238095238,0.5648832342631342,0.7592999088772581,0.8401858115982076,0.6810025125044551,0.15893385148095618,0.19248062610714875,0.12676190476190474,0.5765869199687114,"('lr', '0')",0.73432478432967,0.4852130325814536
ceiling-lay_eggs,"('mlp', '100-100-300-mean')",0.9457969783658144,"('mlp', '50--300-mean')",0.20395716927133578,0.9394607843137256,0.9396043557400564,0.9396209687682464,0.930603386371346,0.9457969783658144,0.19013254756394493,0.20395716927133578,0.19558990801622633,0.18902887567966575,0.19497411805786247,0.7803254548949259,0.7723032052584344,0.7748980086594865,0.7639584531487742,0.7842694746739098,0.7493282367497807,0.8832323232323233,0.6730469965764083,0.15913532941879976,0.19336219336219332,0.11757105943152454,0.5624929705034724,0.7356471864687206,0.8536604678103125,0.6433658844438985,0.16730115048162203,0.1963011063011063,0.1313131313131313,0.5635680850674055,0.7440310607520201,0.853216858855971,0.6681479802893369,0.1647229601087598,0.1963011063011063,0.1313131313131313,0.5577185665552561,0.7415745106916802,0.8483717218771567,0.6656692851627838,0.16664493322257184,0.19630110630110628,0.1313131313131313,0.5809820023875962,0.750822860307952,0.8505632074964373,0.6768433988261859,0.16152750369190466,0.19630110630110628,0.1313131313131313,0.5677976431892768,"('mlp', '100-100-300-mean')",0.7842694746739098,0.4981167608286253
wings,"('mlp', '50--300-mean')",0.843852072422354,"('mlp', '50--300-mean')",0.07066493023260612,0.8278538363045406,0.843852072422354,0.8089201941360138,0.8294799247241921,0.8145450380697474,0.04395634865291009,0.07066493023260612,0.03580218120404133,0.056947102822695106,0.036499579984297204,0.6230084827690627,0.6298322198183445,0.5971240402162941,0.6173043037580748,0.6010405451241962,0.7838974876516305,0.8867924528301887,0.6720237884526885,0.2048453535354779,0.2575608422203993,0.16091644204851752,0.4983325519254319,0.7731871421897479,0.8879307512815837,0.6784307769661179,0.21401985260400958,0.2674599321160946,0.16156940892789953,0.5177304787763585,0.7731180129319725,0.8875074671579067,0.6804795761200053,0.2117961539197198,0.2644183090415254,0.16631503367352424,0.5097532015310635,0.772532821901497,0.8850112014694564,0.6648018136886923,0.21217562096611725,0.26856261799106873,0.16394222130071184,0.50532663143916,0.7780454580854502,0.8837164559295507,0.6632068642543657,0.21350449294555124,0.26821178999547823,0.16394222130071187,0.5210231064320338,"('mlp', '50--300-mean')",0.6298322198183445,0.40918390543305294
ceiling-wings,"('mlp', '50--300-mean')",0.9286590767108596,"('mlp', '50-50-300-mean')",0.2121256070867078,0.8892561983471073,0.9286590767108596,0.9267326751846344,0.923143786268208,0.926798401618938,0.13707451205139642,0.21086642775078235,0.2121256070867078,0.20088940689271284,0.2041996672501729,0.6904869955993992,0.7203149985225454,0.7192345853292693,0.7150033171680263,0.7207631991649157,0.7521816862957109,0.8366921135071018,0.6354016354016354,0.19876920274770815,0.2708032708032708,0.12272727272727275,0.5371555629523416,0.7177926489600772,0.8196173833475553,0.5706852962274499,0.20834407818831407,0.2663550395964189,0.15209380015197588,0.5046637471702019,0.7146070680979266,0.8154004915516518,0.5685550704885229,0.2074980898553651,0.26742287087114675,0.14412436830668202,0.5092470457590856,0.7222543793754952,0.8085931982615284,0.5714410555078423,0.20814046910018175,0.26647669678815394,0.14872010534680166,0.5097656223776625,0.7225987343687651,0.8023119964518679,0.590375837742149,0.20603520245402226,0.2666917399331193,0.148464777878571,0.5005739428728753,"('mlp', '100-100-300-mean')",0.7207631991649157,0.40634249471458783
round,"('lr', '0')",0.8047619047619048,"('lr', '0')",-0.0411659584524704,0.8047619047619048,0.7855236664816447,0.7842937370853915,0.7831749763280766,0.7934368523260676,-0.0411659584524704,-0.06242173325098588,-0.0692925553255791,-0.0639259137446695,-0.057648162484352006,0.7737344703810939,0.7574181688597271,0.7549888495811731,0.7566114253980853,0.7675586864298575,0.8459278632143752,0.8955555555555557,0.7732262382864792,0.031027434380810882,0.08888888888888889,0.0,0.8095410212277683,0.8479453997326306,0.9015460938498914,0.7721095765174519,0.0281054976219176,0.08888888888888889,0.0,0.8018746173233391,0.8535862924109706,0.905565784426544,0.8038164380900094,0.029304887504218446,0.09114299851558637,0.0,0.8039393399295122,0.8471008900727461,0.8985508247027234,0.7732262382864793,0.026563550929991346,0.07996261476716697,0.0,0.8032834022889856,0.8510850148104196,0.9064945593553192,0.7709929147484246,0.025878165896210125,0.07960195722689538,0.0,0.8029833867236486,"('lr', '0')",0.7737344703810939,0.7732262382864793
